Country,Year,gdp_growth,inflation,domestic_credit,current_account,total_reserves,External_Debt_Crisis
Algeria,1960,,,,,265802800,0
Algeria,1961,-13.60544132,,,,311729450,0
Algeria,1962,-19.68504183,,,,185716410,0
Algeria,1963,34.31372878,,,,237218040,0
Algeria,1964,5.839413008,,,,194924560,0
Algeria,1965,6.206898211,,,,184224560,0
Algeria,1966,-4.804970943,,,,273085970,0
Algeria,1967,9.452962563,,,,442988000,0
Algeria,1968,10.79623857,,,,532109700,0
Algeria,1969,8.433280282,,,,410627600,0
Algeria,1970,8.86265711,,,,352276530,0
Algeria,1971,-11.33171917,,,,537318203.6,0
Algeria,1972,27.42396948,,,,640169273.5,0
Algeria,1973,3.813176296,,,,1526311529,0
Algeria,1974,7.494917705,,,,2474721194,0
Algeria,1975,5.045341613,,,,1895709477,0
Algeria,1976,8.386756484,,,,2502228025,0
Algeria,1977,5.258585986,,,,2590691196,0
Algeria,1978,9.214835701,,,,3229638828,0
Algeria,1979,7.477826551,,,,5517255565,0
Algeria,1980,0.790606972,8.975,,0.526,7063796833,0
Algeria,1981,2.999996088,10.286,,-0.435,5914588650,0
Algeria,1982,6.400004115,10.964,,-0.897,4972783276,0
Algeria,1983,5.400003025,11.823,,-0.165,4010232279,0
Algeria,1984,5.599996529,12.569,,0.133,3185336009,0
Algeria,1985,3.699997255,13.88,,1.529,4644533024,0
Algeria,1986,0.400001003,15.824,,-3.338,3842516472,0
Algeria,1987,-0.699997526,16.751,,0.206,4343099115,0
Algeria,1988,-1.000005491,17.746,,-3.389,3190542199,0
Algeria,1989,4.400002161,19.373,,-1.811,3085702760,0
Algeria,1990,0.80000058,21.17,,2.01,2703474408,0
Algeria,1991,-1.200000586,26.652,,4.719,3459969141,1
Algeria,1992,1.800002303,35.101,7.066943015,2.415,3317517177,1
Algeria,1993,-2.100000757,42.297,6.467719977,1.464,3655668338,1
Algeria,1994,-0.899996553,54.563,6.51702224,-3.993,4813488033,1
Algeria,1995,3.799994791,70.823,5.133697325,-4.9,4164319964,1
Algeria,1996,4.099998472,84.067,5.36600668,2.449,6296459575,1
Algeria,1997,1.099999937,88.859,3.917921272,6.598,9666874795,0
Algeria,1998,5.100003611,93.258,4.554422657,-1.74,8452272525,0
Algeria,1999,3.200001553,95.682,5.353178588,0.038,6146079211,0
Algeria,2000,3.800000002,95.969,5.961758151,15.386,13556106802,0
Algeria,2001,2.999999999,100,8.014241442,11.883,19625060613,0
Algeria,2002,5.4,101.433,12.19974352,7.086,25151012703,0
Algeria,2003,6.500000001,105.755,11.22232165,11.987,35454600266,0
Algeria,2004,4.5,109.952,10.99786961,12.094,45691652467,0
Algeria,2005,5.4,111.472,11.92911928,19.789,59167068864,0
Algeria,2006,2.899999999,114.048,12.11707388,23.52,81462730475,0
Algeria,2007,3.100000001,118.244,12.99010252,21.476,1.14972E+11,0
Algeria,2008,2.499999999,123.985,12.79580213,19.098,1.48099E+11,0
Algeria,2009,1.2,131.103,16.26580177,0.273,1.55112E+11,0
Algeria,2010,4.800000001,136.23,15.20827982,6.838,1.70461E+11,0
Algeria,2011,2.999999999,142.36,13.71547056,9.07,1.91369E+11,0
Algeria,2012,2.4,155.053,14.02533067,5.411,2.00587E+11,0
Algeria,2013,2.600000001,160.1,16.49793668,0.363,2.01437E+11,0
Algeria,2014,4.099999999,164.77,18.35198449,-3.949,1.86351E+11,0
Algeria,2015,3.200000001,172.653,21.7117053,-14.555,1.50595E+11,0
Algeria,2016,3.9,183.699,22.87582931,-14.645,1.20788E+11,0
Angola,1980,,,,1.051,,0
Angola,1981,-4.400001219,,,-2.947,,0
Angola,1982,0,,,-7.958,,0
Angola,1983,4.200001429,,,-5.549,,0
Angola,1984,6.000002165,,,-2.488,,0
Angola,1985,3.49999949,,,2.306,,1
Angola,1986,2.900001742,,,-3.827,,1
Angola,1987,4.082748635,,,4.939,,1
Angola,1988,6.128890478,,,-4.777,,1
Angola,1989,0.041621462,,,-1.156,,1
Angola,1990,-3.450098685,,,-1.873,,1
Angola,1991,0.991359302,,,-4.756,,1
Angola,1992,-5.838280733,,,-7.821,,1
Angola,1993,-23.98341744,,,-9.804,,1
Angola,1994,1.339363436,,,-6.843,,1
Angola,1995,15.00000003,0.001,4.173604367,-4.761,228335521.2,1
Angola,1996,13.54436976,0.027,2.628192294,40.863,555691254.4,1
Angola,1997,7.274277355,0.088,4.285171286,-9.412,392514285.9,1
Angola,1998,4.691146451,0.183,2.918204315,-23.462,202442614.1,1
Angola,1999,2.181489718,0.637,2.13267907,-22.728,491400189.6,1
Angola,2000,3.054624234,2.707,1.668673846,7.125,1198212373,1
Angola,2001,4.205998556,6.838,3.091539189,-13.092,731866198.1,1
Angola,2002,13.66568876,14.284,3.540242115,-0.982,375545950.3,1
Angola,2003,2.99,28.313,4.088375698,-4.04,634199422.3,1
Angola,2004,10.95000001,40.637,4.558873636,2.892,1379588147,0
Angola,2005,15.02999999,49.968,4.294903409,13.897,3196850749,0
Angola,2006,11.55,56.616,6.501750931,20.408,8149079646,0
Angola,2007,14.01000001,63.551,9.837911129,16.212,11196800894,0
Angola,2008,11.16999999,71.472,12.05789444,8.126,17869411576,0
Angola,2009,0.860000002,81.278,23.05224785,-10.769,13664098154,0
Angola,2010,4.398375938,93.047,19.89537385,8.957,19678661657,0
Angola,2011,3.472053148,105.594,18.79419957,11.705,27039761554,0
Angola,2012,8.542107076,116.454,20.05230549,10.818,31161778889,0
Angola,2013,4.954613031,126.681,21.36958833,6.107,31500815462,0
Angola,2014,4.82255927,135.927,19.91113548,-2.572,27032344084,0
Angola,2015,0.943571561,148.377,24.04553984,-8.841,23790543425,0
Angola,2016,-2.580049644,193.92,19.99000071,-3.051,23672191989,0
Argentina,1960,,,,,527233600,1
Argentina,1961,5.427842876,,,,386407550,1
Argentina,1962,-0.852021522,,,,114741240,1
Argentina,1963,-5.308196825,,,,269807440,1
Argentina,1964,10.13029766,,,,153293600,1
Argentina,1965,10.56943334,,,,236095840,1
Argentina,1966,-0.659726171,,,,216174480,0
Argentina,1967,3.191996623,,,,727208400,0
Argentina,1968,4.822500779,,,,780833300,0
Argentina,1969,9.679526011,,,,538310000,0
Argentina,1970,3.045643319,,,,681788410,0
Argentina,1971,5.658131082,,,,304314527.1,0
Argentina,1972,1.628416518,,,,572449755.2,0
Argentina,1973,2.811754038,,,,1597255506,0
Argentina,1974,5.533804396,,,,1889579481,0
Argentina,1975,-0.028412104,,,,848224746.1,0
Argentina,1976,-2.018251517,,,,1983316224,0
Argentina,1977,6.934147757,,,,3843942355,0
Argentina,1978,-4.506124802,,,,5933322542,0
Argentina,1979,10.22276346,,,,11626505760,0
Argentina,1980,1.51878395,,,-1.101,9296756057,0
Argentina,1981,-5.189789141,,,-3.014,5006226776,0
Argentina,1982,-0.735659159,,,-3.095,4503960609,1
Argentina,1983,4.349093279,,,-2.095,2840273965,1
Argentina,1984,1.570738702,,,-1.911,2590505132,1
Argentina,1985,-5.189024353,,,-0.966,4702644000,1
Argentina,1986,6.153377063,,,-2.411,4427405700,1
Argentina,1987,2.704868828,,,-3.484,3733969300,1
Argentina,1988,-1.089933341,,,-1.104,5157480787,1
Argentina,1989,-7.156949656,,,1.199,3216875258,1
Argentina,1990,-2.467213778,,18.8,2.952,6222040363,1
Argentina,1991,9.133110567,,17.7,-0.202,7462543636,1
Argentina,1992,7.937291556,,19.8,-2.529,11447031157,1
Argentina,1993,8.206979072,,23.2,-3.042,15499431244,1
Argentina,1994,5.836200704,,25,-3.815,16003265688,0
Argentina,1995,-2.845209611,,25.5,-1.769,15979453702,0
Argentina,1996,5.526689827,,26.5,-2.352,19719017351,0
Argentina,1997,8.111046771,26.468,29.6,-3.753,22424600097,0
Argentina,1998,3.850178852,26.713,32,-4.38,24855741222,0
Argentina,1999,-3.385457041,26.401,32.1,-3.815,26350163486,0
Argentina,2000,-0.788998939,26.153,29.4,-2.878,25152117244,0
Argentina,2001,-4.408839683,25.875,39.4,-1.316,14555552760,1
Argentina,2002,-10.89448483,32.568,63.2,7.666,10492424819,1
Argentina,2003,8.837040796,36.946,43,5.597,14157284136,1
Argentina,2004,9.029573301,38.577,35.1,1.798,19659591804,1
Argentina,2005,8.85165992,42.297,29.3,2.473,28081718502,1
Argentina,2006,8.0471515,46.907,26.9,2.791,32022297113,1
Argentina,2007,9.007650875,51.049,25.1,2.101,46149456856,1
Argentina,2008,4.057233103,55.431,23.2,1.491,46385380207,1
Argentina,2009,-5.918525076,58.907,22.7,2.167,48006988635,1
Argentina,2010,10.12539816,65.069,21.1,-0.382,52207549724,1
Argentina,2011,6.003951693,71.43,21.1,-1.012,46265800526,1
Argentina,2012,-1.026420454,78.603,22,-0.369,43223270864,1
Argentina,2013,2.405323781,86.95,22.8,-2.147,30533919651,1
Argentina,2014,-2.512615321,,19.7,-1.629,31410813270,1
Argentina,2015,2.731159828,,21.5,-2.743,25520565580,1
Argentina,2016,-2.080327844,168.27,20.8,-2.713,38414518492,1
Australia,1960,,,,,892782000,0
Australia,1961,2.482330471,,,,1320041500,0
Australia,1962,1.294220997,,,,1358960800,0
Australia,1963,6.216179593,,,,1842726000,0
Australia,1964,6.98016602,,,,1906895200,0
Australia,1965,5.980140401,,,,1565328400,0
Australia,1966,2.379005539,,,,1569256000,0
Australia,1967,6.304878257,,,,1365680000,0
Australia,1968,5.093706274,,,,1493121700,0
Australia,1969,7.045274183,,,,1262842800,0
Australia,1970,7.175694747,,,,1708729730,0
Australia,1971,4.000579297,,,,3357977441,0
Australia,1972,3.910452793,,,,6339772676,0
Australia,1973,2.619597609,,,,6213814800,0
Australia,1974,4.107112787,,,,5329033239,0
Australia,1975,1.335769508,,,,3989818897,0
Australia,1976,2.588438028,,,,3862096210,0
Australia,1977,3.595124577,,,,3319307783,0
Australia,1978,0.893490698,,,,3822366657,0
Australia,1979,4.050418713,,,,5486014814,0
Australia,1980,3.035655891,26.35,,-2.367,6366460013,0
Australia,1981,3.339964238,28.85,,-4.056,4824242557,0
Australia,1982,3.325385715,32.125,,-4.105,9995391403,0
Australia,1983,-2.224351225,35.35,,-3.146,11987781860,0
Australia,1984,4.593743638,36.75,,-4.146,9886483620,0
Australia,1985,5.278455013,39.225,,-4.861,8361034037,0
Australia,1986,3.96632897,42.775,,-5.048,10346341272,0
Australia,1987,2.559622174,46.425,,-3.389,12583630027,0
Australia,1988,5.757818839,49.8,,-3.832,16852981546,0
Australia,1989,3.873359505,53.575,,-5.999,16961258793,0
Australia,1990,3.577410965,57.45,120.5,-4.848,19318743724,0
Australia,1991,-0.382260201,59.35,120.4,-3.279,19339711736,0
Australia,1992,0.428289544,59.925,117.8,-3.258,13852416773,0
Australia,1993,4.046728165,60.975,112.6,-3.026,14188550691,0
Australia,1994,3.980388387,62.15,112.4,-4.52,14313163753,0
Australia,1995,3.885926235,65.025,114,-4.984,14951886130,0
Australia,1996,3.863888914,66.75,115.7,-3.46,17402141302,0
Australia,1997,3.913247319,66.9,121.1,-2.917,17588261224,0
Australia,1998,4.663214604,67.475,126.2,-4.904,15377553385,0
Australia,1999,5.027684093,68.425,131.2,-5.471,21955814712,0
Australia,2000,3.921502931,71.475,138.9,-4.088,18821546024,0
Australia,2001,2.025105535,74.625,139.7,-2.233,18663980677,0
Australia,2002,3.979585681,76.9,146.1,-3.783,21567012300,0
Australia,2003,3.090761905,79,153.9,-5.311,33258076239,0
Australia,2004,4.224284814,80.85,160.4,-6.269,36925537509,0
Australia,2005,3.154167532,83,171.2,-5.977,43257063109,0
Australia,2006,2.755346106,85.95,180.3,-5.9,55078716458,0
Australia,2007,3.773321713,87.975,188.7,-6.73,26907894339,0
Australia,2008,3.586266952,91.8,189.5,-4.827,32923506492,0
Australia,2009,1.892555819,93.425,187.6,-4.514,41742190607,0
Australia,2010,2.219980265,96.1,179.3,-3.662,42267797177,0
Australia,2011,2.407080183,99.325,175.1,-2.985,46714016758,0
Australia,2012,3.916709425,101,177,-4.347,49138172006,0
Australia,2013,2.602193394,103.475,182.4,-3.353,52837027750,0
Australia,2014,2.595284116,106.075,188.8,-3.025,53910325023,0
Australia,2015,2.190169287,107.65,199.4,-4.62,45406035071,0
Australia,2016,2.759385972,109.025,200.7,-3.279,52480791523,0
Austria,1960,,,,,720945600,0
Austria,1961,5.537979317,,,,847058100,0
Austria,1962,2.648675113,,,,1081957340,0
Austria,1963,4.138267582,,,,1229910840,0
Austria,1964,6.124353738,,,,1319442160,0
Austria,1965,3.480174918,,,,1314046080,0
Austria,1966,5.642861411,,,,1336543420,0
Austria,1967,3.008047798,,,,1488335600,0
Austria,1968,4.472312782,,,,1650819000,0
Austria,1969,6.275867166,,,,1541024000,0
Austria,1970,7.122875502,,,,1805764300,0
Austria,1971,5.11496844,,,,2455021252,0
Austria,1972,6.207860573,,,,3280220049,0
Austria,1973,4.890435984,,,,4335902626,0
Austria,1974,3.942138196,,,,6428287967,0
Austria,1975,-0.363735782,,,,6510895769,0
Austria,1976,4.578444915,,,,6374077148,0
Austria,1977,5.079981207,,,,6813640726,0
Austria,1978,-0.210653652,,,,9804525357,0
Austria,1979,5.356699939,,,,14883522738,0
Austria,1980,1.731485496,53.215,,-4.776,17725433544,0
Austria,1981,-0.144294731,56.837,,-4.338,13676529640,0
Austria,1982,2.011254555,59.929,,1.003,14949075030,0
Austria,1983,2.973087838,61.928,,0.389,12575296677,0
Austria,1984,0.051275157,65.436,,-0.266,10759891541,0
Austria,1985,2.49867885,67.523,,-0.23,11678513740,0
Austria,1986,2.301392795,68.696,,0.21,14426653335,0
Austria,1987,1.357167995,69.663,,-0.216,17768883013,0
Austria,1988,3.295879816,70.964,,-0.181,16043317040,0
Austria,1989,3.887074787,72.561,,0.186,16881871851,0
Austria,1990,4.345641838,74.575,101.2,0.699,17227717542,0
Austria,1991,3.441627488,76.899,103,0.035,17414573770,0
Austria,1992,2.093524426,79.534,104.9,-0.385,19025543787,0
Austria,1993,0.526809769,82.106,105.4,-0.532,21878103248,0
Austria,1994,2.402118433,84.332,105,-1.467,23852061060,0
Austria,1995,2.667983889,85.691,106.5,-2.86,23368742795,0
Austria,1996,2.215767131,87.209,108.7,-2.838,26833509076,0
Austria,1997,2.145835055,88.226,113.6,-2.546,22021086580,0
Austria,1998,3.49288003,88.947,114.3,-1.852,25207674037,0
Austria,1999,3.761924352,89.406,121,-2.261,18923059531,0
Austria,2000,3.18952293,91.155,127.8,-0.706,17649557522,0
Austria,2001,1.316987496,93.253,129.4,-0.796,15598207439,0
Austria,2002,1.484368776,94.821,129.1,2.102,13182007409,0
Austria,2003,1.141565045,96.055,130.9,1.548,12729301827,0
Austria,2004,2.565255341,97.941,130.2,2.076,12188419360,0
Austria,2005,2.320365143,100,133.8,2.258,11827977058,0
Austria,2006,3.269336015,101.686,136.1,3.295,12911210328,0
Austria,2007,3.775224687,103.923,140.3,3.802,18193955715,0
Austria,2008,1.453305621,107.28,142.5,4.49,16741449885,0
Austria,2009,-3.586264726,107.715,145.1,2.596,17903949015,0
Austria,2010,1.80898243,109.537,147.7,2.855,22241623425,0
Austria,2011,2.927468002,113.417,145.2,1.631,24768999165,0
Austria,2012,0.628246239,116.33,143.4,1.483,27211429628,0
Austria,2013,-0.250726423,118.794,146.5,1.943,23316756962,0
Austria,2014,0.75579885,120.535,141.8,2.474,25001493235,0
Austria,2015,1.303523318,121.511,141.7,1.725,22239731668,0
Austria,2016,2.117219645,122.692,142.1,2.724,23255493381,0
Belgium,1960,,,,,1526945821,0
Belgium,1961,4.978423063,,,,1819222318,0
Belgium,1962,5.212003509,,,,1756067570,0
Belgium,1963,4.351584282,,,,1973351171,0
Belgium,1964,6.956684733,,,,2227003947,0
Belgium,1965,3.56065984,,,,2339311318,0
Belgium,1966,3.155894982,,,,2357973398,0
Belgium,1967,3.868146947,,,,2597706014,0
Belgium,1968,4.194129625,,,,2486675902,0
Belgium,1969,6.629799795,,,,2395121264,0
Belgium,1970,6.352672114,,,,2946532105,0
Belgium,1971,3.985827197,,,,3721848719,0
Belgium,1972,5.295604671,,,,5028350688,0
Belgium,1973,6.3817018,,,,8052357419,0
Belgium,1974,4.565258509,,,,11403306217,0
Belgium,1975,-1.965941883,,,,9983533481,0
Belgium,1976,5.652746063,,,,9173446261,0
Belgium,1977,0.626154572,,,,10958484439,0
Belgium,1978,2.841896817,,,,13591056963,0
Belgium,1979,2.341073045,,,,22959057237,0
Belgium,1980,4.444053892,39.609,,-3.999,27973532283,0
Belgium,1981,-0.279283585,42.63,,-4.094,18539741074,0
Belgium,1982,0.594986768,46.348,,-2.898,19545394588,0
Belgium,1983,0.311843009,49.9,,-0.584,17754310163,0
Belgium,1984,2.466382451,53.068,,-0.067,15102823617,0
Belgium,1985,1.651792971,55.651,,0.799,16026466437,0
Belgium,1986,1.822762033,56.372,,2.622,18899783761,0
Belgium,1987,2.306659689,57.248,,1.926,25898989384,0
Belgium,1988,4.723208729,57.913,,2.277,23145049666,0
Belgium,1989,3.469166976,59.712,,2.255,22886849283,0
Belgium,1990,3.137402217,61.774,93.1,1.817,23788895634,0
Belgium,1991,1.833074413,63.73,96.4,2.319,22868663721,0
Belgium,1992,1.530654751,65.17,106.5,2.914,22146931621,0
Belgium,1993,-0.961873077,66.791,110.2,5.144,21197694512,0
Belgium,1994,3.226971454,68.39,110.8,5.28,23474024354,0
Belgium,1995,2.384757249,69.255,106.4,5.339,24120463000,0
Belgium,1996,1.321432144,70.474,110.4,4.954,22609776070,0
Belgium,1997,3.793671655,71.531,117.6,5.471,20635950073,0
Belgium,1998,1.961832405,72.175,123.7,5.12,21012750278,0
Belgium,1999,3.542717988,72.993,136.3,7.764,13346240662,0
Belgium,2000,3.716705107,74.951,146.2,3.965,12271745172,0
Belgium,2001,1.099603624,76.778,152.2,3.335,13560301157,0
Belgium,2002,1.706894303,77.97,149.2,4.501,14697923742,0
Belgium,2003,1.037955182,79.153,155.7,3.398,14448826871,0
Belgium,2004,3.571206719,80.623,158.5,3.098,13990812128,0
Belgium,2005,2.321737929,82.669,156.9,1.995,11996383513,0
Belgium,2006,2.552340873,84.596,159.1,1.85,13436681104,0
Belgium,2007,3.676924625,86.135,170.1,1.496,16485311239,0
Belgium,2008,0.446905131,90.003,192.1,-1.006,15680647981,0
Belgium,2009,-1.906441055,89.999,201.4,1.657,23861674313,0
Belgium,2010,2.710311503,92.095,189.5,1.624,26779063929,0
Belgium,2011,1.931155024,95.175,199.7,-1.94,29114266148,0
Belgium,2012,0.215803612,97.669,204.1,-0.081,30768939404,0
Belgium,2013,0.305494549,98.892,205.1,0.955,26946175032,0
Belgium,2014,1.765540381,99.381,205.4,0.772,25444391273,0
Belgium,2015,1.474164337,100,207.2,1.383,24101851039,0
Belgium,2016,1.19350273,101.774,227.9,0.552,23480922147,0
Bolivia,1960,,,,,6715418.4,0
Bolivia,1961,2.089295942,,,,7404270.65,0
Bolivia,1962,5.578917862,,,,4005989.98,0
Bolivia,1963,6.797625769,,,,10404576.44,0
Bolivia,1964,3.956596531,,,,22546124.32,0
Bolivia,1965,4.913441955,,,,36572986.48,0
Bolivia,1966,7.170589663,,,,41219613.49,0
Bolivia,1967,6.317219517,,,,37943132.8,0
Bolivia,1968,8.529443088,,,,41648875.1,0
Bolivia,1969,4.474097329,,,,42066867.2,0
Bolivia,1970,5.231029304,,,,46379966.09,0
Bolivia,1971,5.063336439,,,,56353201.34,0
Bolivia,1972,7.96748521,,,,70587990.77,0
Bolivia,1973,5.739161526,,,,100471229.4,0
Bolivia,1974,2.939567808,,,,252272315.7,0
Bolivia,1975,7.311017731,,,,196963507.6,0
Bolivia,1976,4.614567486,,,,206830669.2,0
Bolivia,1977,4.971215657,,,,310364753,0
Bolivia,1978,2.052694566,,,,315441347.1,0
Bolivia,1979,0.133344048,,,,527840704,0
Bolivia,1980,-1.371772911,,,-0.2,553358366,1
Bolivia,1981,0.275616373,,,-8.102,429267402.1,1
Bolivia,1982,-3.938737925,,,-3.4,562569850.2,1
Bolivia,1983,-4.042121403,0.002,,-2.8,508816422.3,1
Bolivia,1984,-0.200665697,0.023,,-2,533100460.2,1
Bolivia,1985,-1.676389783,2.774,,-7.3,492491229.2,0
Bolivia,1986,-2.573884201,10.357,,-7.6,513310580.5,1
Bolivia,1987,2.46348462,11.867,,-9.27,530316463.4,1
Bolivia,1988,2.90949796,13.766,,-2.9,472580567.9,1
Bolivia,1989,3.790130962,15.855,,0.7,563347083,1
Bolivia,1990,4.635787428,18.569,24.02382957,-4.021,510931171.6,1
Bolivia,1991,5.266526668,22.551,28.65879155,-4.788,422359443.1,1
Bolivia,1992,1.646498183,25.473,36.30417007,-7.208,479572082.6,1
Bolivia,1993,4.269296117,27.645,45.49654524,-7.321,572438127.4,1
Bolivia,1994,4.667265103,29.822,49.93848603,-3.986,793388690.3,1
Bolivia,1995,4.678276597,32.861,48.20226462,-5.002,1005482847,1
Bolivia,1996,4.361341952,36.946,52.7372992,-4.504,1301661211,1
Bolivia,1997,4.954208743,38.685,58.27490155,-6.984,1359051283,1
Bolivia,1998,5.029354755,41.654,64.05322284,-7.856,1218866920,0
Bolivia,1999,0.426885423,42.554,64.45095108,-5.907,1248580100,0
Bolivia,2000,2.507810809,44.512,58.72169157,-5.325,1184108228,0
Bolivia,2001,1.683799127,45.223,53.55642313,-3.359,1146023735,0
Bolivia,2002,2.485565738,45.64,51.00208179,-4.42,892729137.8,0
Bolivia,2003,2.711339837,47.163,47.8805893,1.042,1096941370,0
Bolivia,2004,4.173295589,49.256,42.65073392,3.694,1271422925,0
Bolivia,2005,4.421433127,51.916,39.79538845,6.502,1794984953,0
Bolivia,2006,4.797008824,54.148,35.17787854,11.436,3193982720,0
Bolivia,2007,4.564384269,57.752,34.34651341,12.04,5313631986,0
Bolivia,2008,6.148497875,65.842,31.49452334,11.867,7719766413,0
Bolivia,2009,3.356999574,68.044,34.0212114,4.658,8574579206,0
Bolivia,2010,4.126722591,69.747,36.02875047,4.416,9730683979,0
Bolivia,2011,5.204092443,76.64,36.75345301,2.226,11994673115,0
Bolivia,2012,5.122275581,80.102,38.9657715,7.221,13924289443,0
Bolivia,2013,6.796011428,84.697,40.93110415,3.413,14429068711,0
Bolivia,2014,5.460569506,89.58,43.74967106,1.716,15129277524,0
Bolivia,2015,4.85718718,93.218,51.44914507,-5.825,13049620686,0
Bolivia,2016,4.263920864,96.596,57.40855231,-5.579,10053627485,0
Brazil,1960,,,,,432848800,0
Brazil,1961,8.6,,,,471156150,1
Brazil,1962,6.6,,,,336000900,1
Brazil,1963,0.6,,,,355042320,1
Brazil,1964,3.4,,,,245487600,1
Brazil,1965,2.4,,,,484251120,0
Brazil,1966,6.7,,,,425796620,0
Brazil,1967,4.2,,,,200149600,0
Brazil,1968,9.8,,,,266422900,0
Brazil,1969,9.5,,,,656773200,0
Brazil,1970,10.4,,,,1189904670,0
Brazil,1971,11.34292199,,,,1753865278,0
Brazil,1972,11.94034812,,,,4218805677,0
Brazil,1973,13.96872178,,,,6508867084,0
Brazil,1974,8.153938685,,,,5463238280,0
Brazil,1975,5.166649084,,,,4166486431,0
Brazil,1976,10.25712953,,,,6666854182,0
Brazil,1977,4.93432807,,,,7441920872,0
Brazil,1978,4.969897689,,,,12190033177,0
Brazil,1979,6.759560122,,,,9838705355,0
Brazil,1980,9.2,73.291,,-8.783,6875231542,0
Brazil,1981,-4.25,147.855,,-7.003,7479607844,0
Brazil,1982,0.83,296.558,,-9.104,3997356018,0
Brazil,1983,-2.93,696.97,,-4.759,4561475256,1
Brazil,1984,5.4,2036,,0.028,11960814097,1
Brazil,1985,7.85,6637.94,,-0.1,11617955162,1
Brazil,1986,7.49,16404.82,,-2.147,8184181032,1
Brazil,1987,3.53,53861.43,,-0.501,8134599726,1
Brazil,1988,-0.06,392713.47,,1.304,9114472123,1
Brazil,1989,3.16,6011358.88,,0.235,9678276000,1
Brazil,1990,-4.35,183210172.2,46.33612187,-0.831,9997591008,1
Brazil,1991,1.032189585,976093360.5,49.72359499,-0.352,9391631540,1
Brazil,1992,-0.54407205,10268073824,93.00292113,1.607,23750647504,1
Brazil,1993,4.924690004,2.08173E+11,147.6685284,-0.138,32247610989,1
Brazil,1994,5.852870362,4.52948E+12,76.54995005,-0.307,38810777748,1
Brazil,1995,4.223793634,7.51931E+12,47.890542,-2.427,51842389631,0
Brazil,1996,2.20886405,8.70416E+12,44.9,-2.801,60152476088,0
Brazil,1997,3.394845986,9.30699E+12,47.7,-3.636,52208520617,0
Brazil,1998,0.338097901,9.60446E+12,49.3,-4.049,44487193726,0
Brazil,1999,0.467937566,1.00711E+13,48.7,-4.467,36342324443,0
Brazil,2000,4.387949447,1.07805E+13,47.2,-4.048,33015297296,0
Brazil,2001,1.389896401,1.15179E+13,49.3,-4.445,35866445530,0
Brazil,2002,3.053461859,1.24912E+13,52.9,-1.845,37832146718,0
Brazil,2003,1.140828998,1.43292E+13,48.4,0.393,49297286966,0
Brazil,2004,5.759964637,1.52746E+13,45.1,1.339,52934865186,0
Brazil,2005,3.202132061,1.6324E+13,46.5,1.31,53799284977,0
Brazil,2006,3.961988711,1.7007E+13,50.1,0.973,85842861115,0
Brazil,2007,6.069870607,1.76263E+13,47.8,-0.197,1.80334E+11,0
Brazil,2008,5.094195447,1.86271E+13,55.5,-2.099,1.93783E+11,0
Brazil,2009,-0.125812002,1.95377E+13,58,-1.757,2.38539E+11,0
Brazil,2010,7.528225818,2.05222E+13,59,-3.926,2.88575E+11,0
Brazil,2011,3.974423079,2.18841E+13,62.3,-3.197,3.5201E+11,0
Brazil,2012,1.921175986,2.30666E+13,66.7,-3.761,3.73161E+11,0
Brazil,2013,3.004822669,2.44977E+13,70.7,-3.576,3.58816E+11,0
Brazil,2014,0.50395574,2.60482E+13,74.4,-4.499,3.6357E+11,0
Brazil,2015,-3.545763393,2.84004E+13,81.8,-3.523,3.56465E+11,0
Brazil,2016,-3.275916908,3.08825E+13,74.4,-1.699,3.64984E+11,0
Canada,1960,,,,,2012986400,0
Canada,1961,3.163291684,,,,2296085100,0
Canada,1962,7.427837364,,,,2561922010,0
Canada,1963,5.297439889,,,,2615182920,0
Canada,1964,6.655999983,,,,2893026720,0
Canada,1965,6.317200052,,,,3040845600,0
Canada,1966,6.75969012,,,,2707536060,0
Canada,1967,3.065420808,,,,2722684400,0
Canada,1968,5.008274043,,,,3215954000,0
Canada,1969,5.067032363,,,,3111279600,0
Canada,1970,2.918713073,,,,4732515670,0
Canada,1971,4.018845087,,,,5828802080,0
Canada,1972,5.519670058,,,,6640230810,0
Canada,1973,6.728641348,,,,7305435935,0
Canada,1974,3.357776005,,,,8978681010,0
Canada,1975,1.545403326,,,,7504993349,0
Canada,1976,5.889275863,,,,7876981014,0
Canada,1977,3.534826606,,,,7301923098,0
Canada,1978,3.735976388,,,,8558516042,0
Canada,1979,3.725199491,,,,14219999489,0
Canada,1980,2.177199213,44.037,,-2.205,15461831432,0
Canada,1981,3.415065182,49.525,,-4.18,11671918705,0
Canada,1982,-3.166150221,54.876,,0.485,12269212046,0
Canada,1983,2.562253588,58.067,,-0.838,11161317127,0
Canada,1984,5.898569401,60.587,,-0.457,8699532578,0
Canada,1985,4.737680815,62.98,,-1.659,9077363670,0
Canada,1986,2.121480834,65.609,,-3.06,10961351035,0
Canada,1987,4.072015741,68.473,,-3.223,16241919192,0
Canada,1988,4.410839003,71.233,,-3.06,22421917624,0
Canada,1989,2.337329757,74.783,,-3.956,22511818355,0
Canada,1990,0.202947874,78.358,134.8,-3.432,23529517647,0
Canada,1991,-2.091055098,82.767,141.1,-3.729,20836199991,0
Canada,1992,0.89046618,84,142.7,-3.607,14744867435,0
Canada,1993,2.657706916,85.567,144.8,-3.837,14845679468,0
Canada,1994,4.494049295,85.708,142.3,-2.376,13774515278,0
